 TIME             sta1            sta2      
       0.000  0.00000000E+00  0.00000000E+00
       1.000  0.37663917E-09 -0.52989345E-08
       2.000 -0.21908868E-08 -0.96920165E-08
       3.000 -0.15024820E-08 -0.11122520E-07
       4.000  0.22831360E-07 -0.13331230E-07
       5.000  0.10329863E-06 -0.18138441E-07
       6.000  0.27161721E-06 -0.21248691E-07
       7.000  0.54257886E-06 -0.20310403E-07
       8.000  0.90850838E-06 -0.19080196E-07
       9.000  0.13467517E-05 -0.19262564E-07
      10.000  0.18274404E-05 -0.16548446E-07
      11.000  0.23143351E-05 -0.91474042E-08
      12.000  0.27674047E-05 -0.18841299E-08
      13.000  0.31528567E-05  0.24982046E-08
      14.000  0.34511802E-05  0.76452192E-08
      15.000  0.36565751E-05  0.15071997E-07
      16.000  0.37760754E-05  0.20114970E-07
      17.000  0.38323279E-05  0.20718166E-07
      18.000  0.38579443E-05  0.21522671E-07
      19.000  0.38775268E-05  0.24897828E-07
      20.000  0.38970511E-05  0.26670424E-07
      21.000  0.39144237E-05  0.24985810E-07
      22.000  0.39336836E-05  0.24448076E-07
      23.000  0.39613668E-05  0.27139072E-07
      24.000  0.39944696E-05  0.28488868E-07
      25.000  0.40217228E-05  0.26320672E-07
      26.000  0.40347339E-05  0.24946198E-07
      27.000  0.40303077E-05  0.26096112E-07
      28.000  0.40046938E-05  0.25016339E-07
      29.000  0.39549593E-05  0.19836369E-07
      30.000  0.38862985E-05  0.15583688E-07
      31.000  0.38108803E-05  0.14723947E-07
      32.000  0.37388959E-05  0.13058820E-07
      33.000  0.36756164E-05  0.90881124E-08
      34.000  0.36253971E-05  0.78253972E-08
      35.000  0.35915414E-05  0.11060982E-07
      36.000  0.35720501E-05  0.13413063E-07
      37.000  0.35611859E-05  0.12251356E-07
      38.000  0.35556058E-05  0.11939446E-07
      39.000  0.35548658E-05  0.14208532E-07
      40.000  0.35571918E-05  0.14254347E-07
      41.000  0.35597672E-05  0.10596998E-07
      42.000  0.35623242E-05  0.88555977E-08
      43.000  0.35658724E-05  0.11449741E-07
      44.000  0.35690495E-05  0.13406858E-07
      45.000  0.35701555E-05  0.12444730E-07
      46.000  0.35712512E-05  0.13119440E-07
      47.000  0.35756596E-05  0.16901179E-07
      48.000  0.35829875E-05  0.18420244E-07
      49.000  0.35909814E-05  0.15789064E-07
      50.000  0.36001884E-05  0.14457732E-07
      51.000  0.36119590E-05  0.16732360E-07
      52.000  0.36239358E-05  0.17723831E-07
      53.000  0.36326285E-05  0.15605636E-07
      54.000  0.36386582E-05  0.15352926E-07
      55.000  0.36445908E-05  0.18334275E-07
      56.000  0.36496360E-05  0.18866170E-07
      57.000  0.36515354E-05  0.15127836E-07
      58.000  0.36515933E-05  0.12831139E-07
      59.000  0.36525580E-05  0.14191711E-07
      60.000  0.36534293E-05  0.14128148E-07
      61.000  0.36516048E-05  0.11186849E-07
      62.000  0.36482782E-05  0.11031723E-07
      63.000  0.36464599E-05  0.15111643E-07
      64.000  0.36455216E-05  0.17120873E-07
      65.000  0.36429692E-05  0.14734885E-07
      66.000  0.36397428E-05  0.13582339E-07
      67.000  0.36384195E-05  0.15674880E-07
      68.000  0.36379718E-05  0.15475561E-07
      69.000  0.36356586E-05  0.11505998E-07
      70.000  0.36323954E-05  0.10128337E-07
      71.000  0.36309757E-05  0.13498778E-07
      72.000  0.36307155E-05  0.15366492E-07
      73.000  0.36291341E-05  0.13176538E-07
      74.000  0.36271776E-05  0.12937525E-07
      75.000  0.36274463E-05  0.18034618E-07
      76.000  0.36289364E-05  0.24849034E-07
      77.000  0.36288325E-05  0.33486076E-07
      78.000  0.36278483E-05  0.50878026E-07
      79.000  0.36285605E-05  0.78619078E-07
      80.000  0.36301626E-05  0.10879191E-06
      81.000  0.36301223E-05  0.13558112E-06
      82.000  0.36293304E-05  0.15966579E-06
      83.000  0.36303574E-05  0.17801323E-06
      84.000  0.36322997E-05  0.18185740E-06
      85.000  0.36325697E-05  0.16909438E-06
      86.000  0.36320514E-05  0.14733290E-06
      87.000  0.36332361E-05  0.12144989E-06
      88.000  0.36349870E-05  0.89869470E-07
      89.000  0.36344337E-05  0.55655886E-07
      90.000  0.36323572E-05  0.28201162E-07
      91.000  0.36314835E-05  0.10304242E-07
      92.000  0.36312117E-05 -0.41547171E-08
      93.000  0.36293230E-05 -0.16940880E-07
      94.000  0.36271693E-05 -0.22694516E-07
      95.000  0.36278322E-05 -0.21830856E-07
      96.000  0.36307700E-05 -0.22539121E-07
      97.000  0.36334939E-05 -0.26899153E-07
      98.000  0.36367944E-05 -0.28493559E-07
      99.000  0.36430026E-05 -0.26580194E-07
     100.000  0.36507457E-05 -0.28612402E-07
     101.000  0.36566965E-05 -0.35636442E-07
     102.000  0.36609025E-05 -0.39376999E-07
     103.000  0.36652567E-05 -0.37059978E-07
     104.000  0.36684853E-05 -0.34965346E-07
     105.000  0.36679482E-05 -0.34228514E-07
     106.000  0.36647631E-05 -0.27782741E-07
     107.000  0.36619738E-05 -0.14862545E-07
     108.000  0.36593158E-05 -0.39795988E-08
     109.000  0.36548536E-05  0.20328906E-08
     110.000  0.36499370E-05  0.95247996E-08
     111.000  0.36473166E-05  0.19513775E-07
     112.000  0.36461111E-05  0.24545930E-07
     113.000  0.36437521E-05  0.23364145E-07
     114.000  0.36410544E-05  0.23821148E-07
     115.000  0.36402494E-05  0.27809626E-07
     116.000  0.36399869E-05  0.28125484E-07
     117.000  0.36375380E-05  0.23471838E-07
     118.000  0.36340232E-05  0.21479213E-07
     119.000  0.36322461E-05  0.23641091E-07
     120.000  0.36313598E-05  0.22465252E-07
     121.000  0.36289628E-05  0.16685087E-07
     122.000  0.36264215E-05  0.13927035E-07
     123.000  0.36266936E-05  0.15277368E-07
     124.000  0.36288299E-05  0.12796936E-07
     125.000  0.36300062E-05  0.53319453E-08
     126.000  0.36310054E-05  0.10640245E-08
     127.000  0.36342414E-05  0.15349851E-08
     128.000  0.36383416E-05 -0.87665880E-09
     129.000  0.36402174E-05 -0.68825500E-08
     130.000  0.36406330E-05 -0.80126596E-08
     131.000  0.36422782E-05 -0.31183327E-08
     132.000  0.36442477E-05 -0.72226392E-09
     133.000  0.36439263E-05 -0.22994038E-08
     134.000  0.36424470E-05  0.10900795E-09
     135.000  0.36427496E-05  0.70797357E-08
     136.000  0.36440452E-05  0.96210849E-08
     137.000  0.36436514E-05  0.63758419E-08
     138.000  0.36424550E-05  0.58875173E-08
     139.000  0.36431000E-05  0.92274454E-08
     140.000  0.36446217E-05  0.77872268E-08
     141.000  0.36443170E-05  0.88697499E-09
     142.000  0.36430608E-05 -0.20827341E-08
     143.000  0.36433551E-05  0.40293978E-09
     144.000  0.36440355E-05 -0.26175117E-09
     145.000  0.36423707E-05 -0.48177060E-08
     146.000  0.36395008E-05 -0.40537780E-08
     147.000  0.36383756E-05  0.28714665E-08
     148.000  0.36382631E-05  0.63430851E-08
     149.000  0.36367233E-05  0.48835442E-08
     150.000  0.36349713E-05  0.73182730E-08
     151.000  0.36357389E-05  0.14113504E-07
     152.000  0.36378091E-05  0.15424920E-07
     153.000  0.36381921E-05  0.10155266E-07
     154.000  0.36377176E-05  0.79926428E-08
