 TIME             sta1            sta2      
       0.000  0.00000000E+00  0.00000000E+00
       1.000 -0.48766884E-23  0.36162889E-22
       2.000  0.87929906E-23  0.71874943E-22
       3.000  0.60377042E-23  0.93814769E-22
       4.000 -0.13370032E-21  0.11723330E-21
       5.000 -0.59666689E-21  0.14901721E-21
       6.000 -0.15607771E-20  0.16537561E-21
       7.000 -0.31110718E-20  0.15231058E-21
       8.000 -0.52080088E-20  0.12963264E-21
       9.000 -0.77220510E-20  0.11051759E-21
      10.000 -0.10478074E-19  0.77290696E-22
      11.000 -0.13268522E-19  0.22041989E-22
      12.000 -0.15868105E-19 -0.29459967E-22
      13.000 -0.18082761E-19 -0.59837437E-22
      14.000 -0.19795954E-19 -0.86028357E-22
      15.000 -0.20974174E-19 -0.11878430E-21
      16.000 -0.21661812E-19 -0.13755296E-21
      17.000 -0.21988279E-19 -0.13124510E-21
      18.000 -0.22135834E-19 -0.12321687E-21
      19.000 -0.22245576E-19 -0.12986255E-21
      20.000 -0.22356425E-19 -0.13428581E-21
      21.000 -0.22456494E-19 -0.12578093E-21
      22.000 -0.22564598E-19 -0.12453279E-21
      23.000 -0.22718631E-19 -0.14178594E-21
      24.000 -0.22906446E-19 -0.15576070E-21
      25.000 -0.23063721E-19 -0.15174241E-21
      26.000 -0.23137702E-19 -0.14598988E-21
      27.000 -0.23109858E-19 -0.14672166E-21
      28.000 -0.22963124E-19 -0.13312670E-21
      29.000 -0.22680563E-19 -0.96911143E-22
      30.000 -0.22287157E-19 -0.63215349E-22
      31.000 -0.21852446E-19 -0.47264939E-22
      32.000 -0.21439342E-19 -0.32056251E-22
      33.000 -0.21078078E-19 -0.10602586E-22
      34.000 -0.20789089E-19 -0.60494355E-23
      35.000 -0.20591391E-19 -0.26901469E-22
      36.000 -0.20478237E-19 -0.46439002E-22
      37.000 -0.20416944E-19 -0.49429775E-22
      38.000 -0.20384080E-19 -0.55080274E-22
      39.000 -0.20377417E-19 -0.72066375E-22
      40.000 -0.20391426E-19 -0.77319623E-22
      41.000 -0.20409761E-19 -0.62442070E-22
      42.000 -0.20426110E-19 -0.54447635E-22
      43.000 -0.20446101E-19 -0.66795639E-22
      44.000 -0.20466110E-19 -0.76108313E-22
      45.000 -0.20475897E-19 -0.70181328E-22
      46.000 -0.20482653E-19 -0.71441342E-22
      47.000 -0.20505824E-19 -0.89513864E-22
      48.000 -0.20547856E-19 -0.98909743E-22
      49.000 -0.20595564E-19 -0.87976047E-22
      50.000 -0.20647623E-19 -0.82046245E-22
      51.000 -0.20712431E-19 -0.94156083E-22
      52.000 -0.20781292E-19 -0.10095260E-21
      53.000 -0.20833708E-19 -0.90846569E-22
      54.000 -0.20868403E-19 -0.86924862E-22
      55.000 -0.20900477E-19 -0.98457121E-22
      56.000 -0.20930008E-19 -0.99358667E-22
      57.000 -0.20943314E-19 -0.78822674E-22
      58.000 -0.20942959E-19 -0.63794705E-22
      59.000 -0.20945354E-19 -0.67778370E-22
      60.000 -0.20949794E-19 -0.67592529E-22
      61.000 -0.20940890E-19 -0.53870859E-22
      62.000 -0.20920670E-19 -0.52760127E-22
      63.000 -0.20907107E-19 -0.73459983E-22
      64.000 -0.20901650E-19 -0.86173314E-22
      65.000 -0.20889481E-19 -0.76467726E-22
      66.000 -0.20871135E-19 -0.69701883E-22
      67.000 -0.20862015E-19 -0.77960865E-22
      68.000 -0.20860853E-19 -0.76174990E-22
      69.000 -0.20850602E-19 -0.55427968E-22
      70.000 -0.20830957E-19 -0.45932504E-22
      71.000 -0.20818572E-19 -0.61159061E-22
      72.000 -0.20814950E-19 -0.72270087E-22
      73.000 -0.20805781E-19 -0.64021980E-22
      74.000 -0.20792201E-19 -0.63953017E-22
      75.000 -0.20790596E-19 -0.91654452E-22
      76.000 -0.20800592E-19 -0.13238978E-21
      77.000 -0.20804928E-19 -0.18542703E-21
      78.000 -0.20801903E-19 -0.28353539E-21
      79.000 -0.20806516E-19 -0.43671089E-21
      80.000 -0.20818897E-19 -0.60651760E-21
      81.000 -0.20823391E-19 -0.75914377E-21
      82.000 -0.20819760E-19 -0.89239974E-21
      83.000 -0.20823651E-19 -0.99062946E-21
      84.000 -0.20835304E-19 -0.10108775E-20
      85.000 -0.20839253E-19 -0.94022052E-21
      86.000 -0.20835507E-19 -0.81559965E-21
      87.000 -0.20839075E-19 -0.66629564E-21
      88.000 -0.20847970E-19 -0.48999918E-21
      89.000 -0.20843917E-19 -0.30240628E-21
      90.000 -0.20825892E-19 -0.14975516E-21
      91.000 -0.20811267E-19 -0.49052145E-22
      92.000 -0.20803234E-19  0.28210085E-22
      93.000 -0.20789560E-19  0.94344323E-22
      94.000 -0.20774277E-19  0.12627943E-21
      95.000 -0.20777477E-19  0.12471633E-21
      96.000 -0.20801672E-19  0.12897480E-21
      97.000 -0.20830250E-19  0.15247144E-21
      98.000 -0.20860360E-19  0.16557966E-21
      99.000 -0.20904723E-19  0.16164073E-21
     100.000 -0.20959414E-19  0.17507877E-21
     101.000 -0.21002739E-19  0.21331224E-21
     102.000 -0.21028559E-19  0.23646800E-21
     103.000 -0.21049205E-19  0.22668608E-21
     104.000 -0.21064071E-19  0.21225357E-21
     105.000 -0.21057850E-19  0.20205999E-21
     106.000 -0.21032058E-19  0.16409599E-21
     107.000 -0.21006350E-19  0.92416905E-22
     108.000 -0.20986208E-19  0.28127161E-22
     109.000 -0.20960190E-19 -0.10186143E-22
     110.000 -0.20930198E-19 -0.50773604E-22
     111.000 -0.20912607E-19 -0.10193052E-21
     112.000 -0.20907741E-19 -0.12955907E-21
     113.000 -0.20899350E-19 -0.12452436E-21
     114.000 -0.20885318E-19 -0.12384216E-21
     115.000 -0.20878041E-19 -0.14111560E-21
     116.000 -0.20874618E-19 -0.14377346E-21
     117.000 -0.20858769E-19 -0.12192841E-21
     118.000 -0.20832563E-19 -0.11059098E-21
     119.000 -0.20814379E-19 -0.12070636E-21
     120.000 -0.20805805E-19 -0.11779919E-21
     121.000 -0.20792700E-19 -0.91603079E-22
     122.000 -0.20777921E-19 -0.76629663E-22
     123.000 -0.20779380E-19 -0.81614252E-22
     124.000 -0.20795987E-19 -0.69916511E-22
     125.000 -0.20809086E-19 -0.32037540E-22
     126.000 -0.20817176E-19 -0.57531405E-23
     127.000 -0.20835285E-19 -0.28837716E-23
     128.000 -0.20860637E-19  0.10858100E-22
     129.000 -0.20873891E-19  0.42326095E-22
     130.000 -0.20874596E-19  0.52087765E-22
     131.000 -0.20880737E-19  0.30249114E-22
     132.000 -0.20893011E-19  0.16012499E-22
     133.000 -0.20894600E-19  0.20921040E-22
     134.000 -0.20886568E-19  0.89235276E-23
     135.000 -0.20887855E-19 -0.26578495E-22
     136.000 -0.20899205E-19 -0.43732149E-22
     137.000 -0.20902381E-19 -0.31200508E-22
     138.000 -0.20896113E-19 -0.27818882E-22
     139.000 -0.20897544E-19 -0.43003664E-22
     140.000 -0.20907029E-19 -0.37325646E-22
     141.000 -0.20906998E-19 -0.31994295E-23
     142.000 -0.20896903E-19  0.15870547E-22
     143.000 -0.20893929E-19  0.75205005E-23
     144.000 -0.20897889E-19  0.10577806E-22
     145.000 -0.20890904E-19  0.32748580E-22
     146.000 -0.20873144E-19  0.31463734E-22
     147.000 -0.20863497E-19 -0.21280130E-23
     148.000 -0.20863796E-19 -0.23743368E-22
     149.000 -0.20857838E-19 -0.21148621E-22
     150.000 -0.20846570E-19 -0.34120327E-22
     151.000 -0.20848110E-19 -0.69098523E-22
     152.000 -0.20861717E-19 -0.80298568E-22
     153.000 -0.20867698E-19 -0.57134524E-22
     154.000 -0.20864083E-19 -0.43875382E-22
     155.000 -0.20867525E-19 -0.51513471E-22
     156.000 -0.20877419E-19 -0.37884554E-22
     157.000 -0.20875838E-19  0.38941531E-23
     158.000 -0.20863882E-19  0.26389416E-22
     159.000 -0.20861218E-19  0.17804794E-22
     160.000 -0.20868462E-19  0.21201902E-22
     161.000 -0.20866715E-19  0.44031660E-22
     162.000 -0.20855158E-19  0.39979175E-22
