 TIME             sta1            sta2      
       0.000  0.00000000E+00  0.00000000E+00
       1.000  0.28575261E-08 -0.11385304E-08
       2.000  0.31600070E-08 -0.74819075E-09
       3.000  0.38454713E-09  0.11511971E-08
       4.000  0.21952089E-09  0.15220750E-08
       5.000  0.31620057E-08  0.32337447E-09
       6.000  0.34830986E-08  0.53918143E-09
       7.000  0.67771160E-09  0.20881787E-08
       8.000  0.47966424E-09  0.18815068E-08
       9.000  0.33633572E-08  0.46736466E-10
      10.000  0.35478732E-08 -0.19424659E-09
      11.000  0.54157994E-09  0.10926863E-08
      12.000  0.12012395E-09  0.69417533E-09
      13.000  0.27496758E-08 -0.12473794E-08
      14.000  0.26522546E-08 -0.14110251E-08
      15.000 -0.56386955E-09  0.74166570E-10
      16.000 -0.10092260E-08 -0.14790338E-09
      17.000  0.17869228E-08 -0.18911109E-08
      18.000  0.19910733E-08 -0.16911425E-08
      19.000 -0.80507686E-09  0.26756093E-09
      20.000 -0.74866164E-09  0.42890616E-09
      21.000  0.24934063E-08 -0.10676568E-08
      22.000  0.29569886E-08 -0.67521015E-09
      23.000  0.24548632E-09  0.13686442E-08
      24.000  0.28376078E-09  0.13644873E-08
      25.000  0.33947750E-08 -0.49765875E-09
      26.000  0.35864323E-08 -0.45290856E-09
      27.000  0.54614375E-09  0.13595040E-08
      28.000  0.31857984E-09  0.11977246E-08
      29.000  0.32361522E-08 -0.72231071E-09
      30.000  0.32678154E-08 -0.57630656E-09
      31.000  0.15269169E-09  0.13879291E-08
      32.000  0.90493986E-11  0.12475502E-08
      33.000  0.31141464E-08 -0.76899517E-09
      34.000  0.33150451E-08 -0.69483543E-09
      35.000  0.32353940E-09  0.12290566E-08
      36.000  0.28802793E-09  0.99516897E-09
      37.000  0.34350563E-08 -0.11112937E-08
      38.000  0.35289588E-08 -0.10037373E-08
      39.000  0.31144502E-09  0.10158609E-08
      40.000  0.33996437E-10  0.79675791E-09
      41.000  0.29625360E-08 -0.13344590E-08
      42.000  0.28682466E-08 -0.11654876E-08
      43.000 -0.42666133E-09  0.92887282E-09
      44.000 -0.58825386E-09  0.62863857E-09
      45.000  0.25979755E-08 -0.16942329E-08
      46.000  0.27813728E-08 -0.16362240E-08
      47.000 -0.26191910E-09  0.46946712E-09
      48.000 -0.20723424E-09  0.24954204E-09
      49.000  0.30782659E-08 -0.18244270E-08
      50.000  0.31711939E-08 -0.12190313E-08
      51.000 -0.75229895E-10  0.15921301E-08
      52.000 -0.18404310E-09  0.19411365E-08
      53.000  0.30427204E-08  0.18877533E-09
      54.000  0.31886441E-08  0.88612073E-09
      55.000  0.15695986E-09  0.34406536E-08
      56.000  0.43029628E-09  0.30611264E-08
      57.000  0.40393854E-08  0.29758643E-09
      58.000  0.43398180E-08  0.65249729E-10
      59.000  0.11482521E-08  0.19291950E-08
      60.000  0.98563607E-09  0.10915117E-08
      61.000  0.39241283E-08 -0.17848909E-08
      62.000  0.34119807E-08 -0.16695042E-08
      63.000 -0.50096371E-09  0.81518809E-09
      64.000 -0.10511791E-08  0.54529219E-09
      65.000  0.18970513E-08 -0.18864712E-08
      66.000  0.17248297E-08 -0.13486815E-08
      67.000 -0.15740483E-08  0.14567467E-08
      68.000 -0.13255017E-08  0.12404148E-08
      69.000  0.24005286E-08 -0.13194858E-08
      70.000  0.27980109E-08 -0.87922945E-09
      71.000 -0.15211493E-09  0.18355866E-08
      72.000  0.27561995E-09  0.13950607E-08
      73.000  0.39629214E-08 -0.14129486E-08
      74.000  0.40577195E-08 -0.10164712E-08
      75.000  0.65924999E-09  0.18081095E-08
      76.000  0.65890673E-09  0.14078065E-08
      77.000  0.39587258E-08 -0.14288120E-08
      78.000  0.36710322E-08 -0.98987394E-09
      79.000 -0.12914157E-10  0.18717778E-08
      80.000 -0.77199312E-10  0.13391513E-08
      81.000  0.33359475E-08 -0.16784582E-08
      82.000  0.31982427E-08 -0.12227226E-08
      83.000 -0.33951659E-09  0.18006336E-08
      84.000 -0.24915240E-09  0.13504026E-08
      85.000  0.32425055E-08 -0.16317033E-08
      86.000  0.30246693E-08 -0.10130748E-08
      87.000 -0.64554106E-09  0.21961288E-08
      88.000 -0.54238626E-09  0.16972264E-08
      89.000  0.31596363E-08 -0.15320203E-08
      90.000  0.32657529E-08 -0.11187489E-08
      91.000 -0.29948649E-10  0.19530245E-08
      92.000  0.43250008E-09  0.12793442E-08
      93.000  0.43147664E-08 -0.20388813E-08
      94.000  0.42788807E-08 -0.14431543E-08
      95.000  0.56346217E-09  0.19299738E-08
      96.000  0.47032104E-09  0.13908521E-08
      97.000  0.37302250E-08 -0.19019364E-08
      98.000  0.30659859E-08 -0.11544564E-08
      99.000 -0.11123261E-08  0.24186694E-08
     100.000 -0.13474957E-08  0.18733480E-08
     101.000  0.20681818E-08 -0.15799142E-08
     102.000  0.17685899E-08 -0.91518875E-09
     103.000 -0.18328965E-08  0.26013407E-08
     104.000 -0.13019974E-08  0.18316507E-08
     105.000  0.28731749E-08 -0.18954254E-08
     106.000  0.31185445E-08 -0.13000930E-08
     107.000 -0.17685248E-09  0.22600057E-08
     108.000  0.44684961E-09  0.14029356E-08
     109.000  0.43982849E-08 -0.24225842E-08
     110.000  0.40428453E-08 -0.16434198E-08
     111.000 -0.21823006E-10  0.22950102E-08
     112.000 -0.26499379E-10  0.16955309E-08
     113.000  0.35493138E-08 -0.19835215E-08
     114.000  0.30412863E-08 -0.96150592E-09
     115.000 -0.91623946E-09  0.32053509E-08
     116.000 -0.53917619E-09  0.25458461E-08
     117.000  0.35017780E-08 -0.13991066E-08
     118.000  0.32965537E-08 -0.58351408E-09
     119.000 -0.55447616E-09  0.33553436E-08
     120.000 -0.16771533E-09  0.22151240E-08
     121.000  0.37905379E-08 -0.22856835E-08
     122.000  0.33910881E-08 -0.17152413E-08
     123.000 -0.62032922E-09  0.22815800E-08
     124.000 -0.18123234E-09  0.12441755E-08
     125.000  0.40003398E-08 -0.30674670E-08
     126.000  0.38109085E-08 -0.20428549E-08
     127.000 -0.82766224E-10  0.24786010E-08
     128.000  0.39116760E-09  0.17111435E-08
     129.000  0.44749856E-08 -0.24892755E-08
     130.000  0.40331784E-08 -0.12713164E-08
     131.000 -0.12562414E-09  0.33274721E-08
     132.000  0.21753797E-09  0.22169463E-08
     133.000  0.42538119E-08 -0.24739968E-08
     134.000  0.37361025E-08 -0.13681013E-08
     135.000 -0.47979325E-09  0.34645667E-08
     136.000 -0.82089023E-10  0.25093735E-08
     137.000  0.40588365E-08 -0.21608780E-08
     138.000  0.35990915E-08 -0.92849523E-09
     139.000 -0.55230422E-09  0.40719396E-08
     140.000 -0.24355276E-10  0.31066517E-08
